,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings
75,475.24308377600005,1.6727000000000007,11,3,0.6086956521739131,6,3,146.36999999999998,1
138,619.1835798760001,3.712200000000002,14,2,0.39285714285714285,11,3,185.91999999999996,2
2,474.22268267999993,0.27817000000000264,12,5,0.5,8,3,169.35999999999996,1
86,520.232184744,2.658000000000002,10,2,0.42857142857142855,6,5,119.49,2
45,494.28528293600004,1.0582700000000043,12,4,0.782608695652174,6,3,160.57,0
42,410.22776806,-0.7380999999999951,11,5,0.7222222222222222,5,2,162.63,0
68,454.279134936,1.9719000000000009,10,3,0.8181818181818182,9,2,133.48,0
118,484.24744088399996,3.4857000000000022,7,4,0.27586206896551724,8,4,104.53,3
26,572.2150104560001,2.278200000000002,12,2,0.5555555555555556,8,5,149.18,2
137,476.27874101199995,3.098200000000001,7,4,0.4642857142857143,7,4,104.53,2
146,453.088222948,3.1034000000000015,8,0,0.13043478260869565,8,4,99.21000000000001,3
90,465.099456328,2.9673000000000016,9,2,0.08695652173913043,6,4,121.88,3
66,478.22162006,2.0189000000000012,9,2,0.46153846153846156,4,5,110.25999999999999,2
36,543.269298524,1.2585000000000035,12,3,0.5925925925925926,9,4,148.58999999999997,1
82,484.24744088399996,3.870320000000002,7,4,0.27586206896551724,7,4,104.53,3
22,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0
85,588.3311705079999,4.6555000000000035,9,2,0.5294117647058824,10,5,110.26,2
81,484.24744088399996,3.870320000000002,7,4,0.27586206896551724,7,4,104.53,3
112,466.0834719159999,2.9342000000000015,9,1,0.08695652173913043,6,4,119.08,3
11,548.29987038,3.508200000000004,9,2,0.5483870967741935,9,5,110.25999999999999,2
109,460.13042210799995,2.818600000000001,9,1,0.3181818181818182,10,3,119.07999999999998,2
69,504.192818468,4.215300000000004,7,4,0.25,7,4,104.53,3
127,450.26309094799996,2.9941000000000004,7,4,0.4230769230769231,10,3,104.53,2
27,534.247834808,2.5869000000000018,10,2,0.4482758620689655,7,5,119.49,2
150,470.23179081999996,3.363100000000002,7,4,0.25,7,4,104.53,3
124,538.153846116,4.868700000000003,7,4,0.25,7,4,104.53,3
41,520.232184744,2.658000000000002,10,2,0.42857142857142855,6,5,119.49,2
4,430.13109080399994,1.2171699999999996,9,5,0.25,8,3,153.64999999999998,2
134,404.06782185199995,1.2582000000000004,9,1,0.16666666666666666,6,3,119.07999999999998,2
32,549.2587338399999,1.7053200000000008,11,2,0.5172413793103449,7,5,139.69000000000003,1
140,519.0947648719999,1.1532999999999995,13,2,0.22727272727272727,8,3,176.68999999999997,2
105,480.0991219799999,3.072000000000002,9,1,0.125,7,4,119.08,3
67,468.294785,2.362000000000001,10,3,0.8260869565217391,10,2,133.48,0
10,498.284220316,2.355000000000002,9,2,0.6296296296296297,9,4,110.25999999999999,1
93,491.18385464799996,0.885600000000001,11,3,0.5909090909090909,5,4,139.35999999999999,1
131,484.24744088399996,3.490800000000003,7,4,0.27586206896551724,8,4,104.53,3
0,425.2386670920001,-0.9749999999999945,12,6,0.7222222222222222,5,2,177.65,0
117,465.0994563279999,2.9673000000000016,9,2,0.08695652173913043,6,4,121.88,3
64,423.24816915599996,0.5334000000000028,10,3,0.8,3,3,122.29,0
44,384.175732488,-1.544399999999996,12,5,0.6666666666666666,5,2,171.85999999999999,0
84,479.2168690280001,1.4139000000000015,10,2,0.48,4,5,123.14999999999999,2
28,425.238667092,-0.8489999999999951,12,5,0.7222222222222222,7,2,165.87,0
40,333.143704088,0.3933699999999993,9,6,0.3333333333333333,6,2,148.60999999999999,1
111,373.175004216,1.1256699999999995,9,5,0.4444444444444444,4,3,139.82,1
25,541.3012673479999,1.3558700000000028,12,4,0.6296296296296297,9,4,164.23,1
23,468.26963287200005,0.5064000000000046,12,5,0.7619047619047619,8,2,171.85999999999999,0
115,500.24235550399993,3.5705000000000027,8,4,0.27586206896551724,8,4,113.75999999999999,3
79,347.159354152,0.07107000000000036,9,6,0.375,7,2,148.60999999999999,1
39,546.2842203160001,3.041000000000003,9,2,0.4838709677419355,8,5,110.25999999999999,2
142,466.279134936,1.8425000000000011,10,2,0.8260869565217391,6,3,119.49,0
104,432.09912197999995,2.0384,9,1,0.25,8,3,119.07999999999998,2
154,496.247440884,3.7489000000000017,7,3,0.3,6,5,90.54,3
133,333.143704088,0.3933699999999993,9,6,0.3333333333333333,6,2,148.60999999999999,1
47,318.13280505599994,0.0016700000000000048,8,5,0.3333333333333333,6,2,136.57999999999998,1
119,476.27874101199995,3.942600000000003,7,4,0.4642857142857143,7,4,104.53,2
61,476.29987038,2.302500000000001,9,2,0.84,7,4,110.25999999999999,0
73,504.237270124,2.532700000000002,9,2,0.42857142857142855,5,5,110.25999999999999,2
33,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0
108,446.11477204399995,1.8270999999999997,9,1,0.2857142857142857,9,3,119.07999999999998,2
148,526.294391076,4.945000000000005,7,2,0.34375,10,4,81.75,3
123,484.247440884,3.870320000000002,7,4,0.27586206896551724,7,4,104.53,3
62,466.279134936,1.8425000000000011,10,2,0.8260869565217391,6,3,119.49,0
157,426.247834808,1.1917000000000015,10,3,0.8,7,2,133.48,0
97,508.30093300000004,1.448370000000004,12,4,0.7916666666666666,6,3,160.57,0
100,470.23179081999996,3.5619000000000023,7,4,0.25,7,4,104.53,3
53,466.1634535519999,-0.7122299999999966,12,5,0.47368421052631576,7,3,177.19999999999996,1
5,324.0892259919999,0.06317000000000011,8,5,0.38461538461538464,6,2,136.57999999999998,1
114,418.08347191599995,1.6483,9,1,0.21052631578947367,7,3,119.07999999999998,2
122,480.294785,2.2326000000000006,10,2,0.8333333333333334,7,3,119.49,0
49,424.243418124,-0.34799999999999476,11,5,0.7368421052631579,6,2,162.63,0
35,484.268570252,1.964900000000002,9,2,0.6153846153846154,8,4,110.25999999999999,1
80,508.30093300000004,1.448370000000004,12,4,0.7916666666666666,6,3,160.57,0
77,466.0834719159999,3.394300000000002,9,1,0.08695652173913043,6,4,119.08,3
34,430.19646793199996,-0.2607299999999971,11,5,0.45,6,3,160.12999999999997,1
46,560.29987038,2.9699000000000035,9,2,0.5,9,5,110.25999999999999,2
7,394.16410518399994,1.6686699999999999,8,5,0.23809523809523808,7,3,136.57999999999998,2
43,440.263484872,1.5818000000000012,10,3,0.8095238095238095,8,2,133.48,0
70,504.192818468,4.215300000000004,7,4,0.25,7,4,104.53,3
120,333.143704088,0.3933699999999993,9,6,0.3333333333333333,6,2,148.60999999999999,1
110,485.20744721600005,1.486100000000001,10,3,0.5,4,5,126.04999999999998,2
91,435.21178364800005,-1.1694999999999949,11,3,0.75,4,4,139.35999999999999,0
83,446.11477204399995,2.4285000000000005,9,1,0.2857142857142857,9,3,119.07999999999998,2
143,436.24744088399996,2.319600000000001,7,4,0.4,9,3,104.53,2
144,510.26309094799996,4.439300000000004,7,4,0.3225806451612903,6,5,104.53,3
89,331.15320615200005,1.5198,7,3,0.47058823529411764,4,3,98.74000000000001,1
8,562.3155204440001,3.8983000000000043,9,2,0.5625,10,5,110.25999999999999,2
113,464.1042073599999,2.618100000000001,8,1,0.125,7,4,109.85,3
13,544.2645474919999,1.2368700000000024,13,4,0.5769230769230769,8,4,169.79999999999998,1
59,488.263484872,2.1542000000000003,10,3,0.6,7,3,133.48,1
136,450.26309094799996,2.7097000000000016,7,4,0.4230769230769231,10,3,104.53,2
3,548.29987038,3.508200000000003,9,2,0.5483870967741935,9,5,110.25999999999999,2
17,546.3529685719999,2.6885700000000012,11,4,0.8214285714285714,9,4,151.33999999999997,0
38,504.237270124,2.532700000000002,9,2,0.42857142857142855,5,5,110.25999999999999,2
72,510.284220316,2.913400000000002,9,2,0.6428571428571429,5,5,110.25999999999999,1
139,484.24744088399996,3.239600000000002,7,4,0.27586206896551724,8,4,104.53,3
6,548.263484872,2.3736000000000033,10,2,0.4666666666666667,8,5,119.49,2
132,426.14607217199995,2.416900000000001,9,1,0.5263157894736842,8,2,119.07999999999998,1
63,437.26381921999996,0.7810000000000026,10,3,0.8095238095238095,4,3,122.29,0
54,486.24783480799994,1.193300000000002,10,2,0.6,7,4,119.49,1
107,524.238332744,0.9783000000000015,12,2,0.5384615384615384,5,5,142.93,1
50,513.25873384,1.360900000000003,11,3,0.5769230769230769,8,4,139.35999999999999,1
156,466.0834719159999,3.394300000000002,9,1,0.08695652173913043,6,4,119.08,3
58,339.19065428,0.20357000000000042,9,6,0.7333333333333333,6,2,148.60999999999999,0
48,520.268570252,2.7280000000000024,9,2,0.5172413793103449,7,5,110.25999999999999,2
88,532.268570252,2.6509000000000027,9,2,0.4666666666666667,7,5,110.25999999999999,2
21,426.22268268000005,-0.37569999999999504,12,5,0.7222222222222222,5,2,171.85999999999999,0
57,527.274383904,0.6910000000000047,11,3,0.5925925925925926,9,4,139.35999999999999,1
153,462.263090948,2.580300000000001,7,3,0.4444444444444444,7,4,90.54,2
129,422.23179081999996,2.4573,7,4,0.375,7,3,104.53,2
37,555.3169174120001,1.705870000000003,12,4,0.6071428571428571,8,4,154.58,1
149,484.24744088399996,3.822600000000003,7,3,0.27586206896551724,8,4,90.53999999999999,3
1,439.254317156,-0.714299999999995,12,5,0.7368421052631579,5,2,163.66,0
52,470.25292018799996,1.4931200000000018,9,2,0.6,6,4,110.26,1
130,474.22670543999993,2.813300000000001,8,4,0.2962962962962963,8,4,113.76000000000002,3
103,509.227433712,1.8291199999999999,11,2,0.5,5,5,136.29,2
99,484.026262656,3.125300000000001,8,1,0.25,8,3,109.85,2
116,505.07911480799993,0.7648000000000004,13,2,0.19047619047619047,8,3,176.68999999999997,2
87,464.1042073599999,2.504500000000001,8,1,0.125,7,4,109.85,3
74,486.21144929999997,0.5233000000000028,11,2,0.5833333333333334,5,5,128.72,1
121,475.24308377600005,1.6727000000000007,11,3,0.6086956521739131,6,3,146.36999999999998,1
158,332.04669248399995,1.2278000000000004,7,2,0.06666666666666667,3,3,106.77000000000001,2
20,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0
71,482.28528293600004,0.8965000000000034,12,5,0.7727272727272727,9,2,171.85999999999999,0
106,619.1835798760001,3.712200000000002,14,2,0.39285714285714285,11,3,185.91999999999996,2
14,472.2685702519999,2.0942999999999987,9,3,0.6,11,3,124.24999999999999,1
92,464.1042073599999,3.2169000000000016,8,1,0.125,7,4,109.85,3
102,519.0947648719999,1.1549000000000003,13,2,0.22727272727272727,9,3,176.68999999999997,2
